region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons
1100102,38,1430,597,185,1567,1.1,1355,2.6,514
1100103,32,0,475,300,0,1,2583,1,606
1100104,51,1600,466,0,1383,1,533,2.5,17
1100105,45,1343,543,200,1015,1.1,912,1.9,19
1100106,32,2600,396,175,1083,1.1,722,2.5,261
1100107,51,1398,737,134,1769,1,1375,2.3,242
1100108,43,1950,714,300,1625,1,1265,2.2,237
1100109,39,1537,621,144,1329,1,940,2.5,233
1100110,37,1300,547,200,1102,1.1,923,2.4,332
1100111,39,1480,647,250,1536,1,1279,2.7,527
1100112,39,1733,625,288,1932,1,1874,3,567
1100113,37,1406,484,158,1333,1.1,993,2.6,443
1100114,39,1300,494,220,1017,1.1,914,2.3,453
1100115,40,1312,503,210,906,1.1,773,2,363
1100116,36,1213,638,200,1511,1.1,929,2,483
1100117,34,1625,583,250,1166,1,1149,2.4,440
1100118,44,1365,679,230,1431,1,1152,2.4,268
1100119,45,1300,535,200,1028,1.1,894,2.1,326
1100120,37,1300,629,240,1493,1.1,1335,2.5,283
1100121,47,1300,516,238,1017,1,712,2,415
1100122,31,2080,702,300,1916,1,1750,3.2,222
1100123,52,2544,541,103,1700,1,982,2.4,317
1100124,29,1192,401,176,869,1.1,672,2.6,316
1100125,46,1600,694,315,1491,1,1764,2.9,450
1100126,38,1733,866,320,2374,1,2211,3.1,388
1100127,40,1400,553,240,1267,1,989,2.2,277
1100128,46,1509,396,139,1068,1.1,571,1.8,417
1100129,38,1500,447,165,1035,1.1,781,2.3,255
1100130,45,1400,359,126,727,1,617,2.1,441
1100131,42,975,589,230,1555,1.1,989,2.2,284
1100132,40,1408,494,160,1140,1.1,726,2.2,304
1100133,36,1430,539,220,1201,1.1,1091,2.4,609
1100134,46,1733,700,263,1874,1,1841,2.8,339
1100135,37,1437,547,250,1602,1.1,1205,2.7,359
1100136,35,1127,547,195,1264,1.1,1079,2.4,400
1100137,40,1185,398,190,1038,1,757,2.3,522
1100138,40,1213,362,138,741,1.2,585,1.9,237
1100139,49,2167,431,190,1138,1,672,2.1,409
1100140,42,1300,509,175,1218,1.1,900,2,214
1100141,41,1083,380,168,1125,1.1,823,2.3,275
1100142,45,1192,494,230,1125,1.1,836,2.2,590
1100143,31,1049,460,165,1042,1.1,696,2.1,276
1100144,43,1376,523,308,1555,1.1,880,2.6,391
1100145,47,1000,429,150,1312,1.1,766,2.2,224
1100146,42,1144,494,200,1178,1.1,741,2.1,312
1100147,46,1300,472,195,1050,1.1,852,2.2,422
1100148,49,2850,386,160,815,1.1,631,2.2,545
1100149,44,1517,570,200,1514,1,1261,2.5,364
1100150,46,1352,463,205,1262,1,933,2.4,384
1100151,53,2200,383,90,2025,1,1733,2.7,287
1100152,26,1300,356,135,608,1.1,587,2.6,291
1100153,30,1300,397,120,1014,1.1,769,2.7,234
1100154,28,2167,723,320,1826,1,1589,2.8,531
1100155,33,1400,554,165,1041,1.1,805,1.9,564
1100156,48,1768,603,230,1718,1,1316,2.3,304
1100157,43,1560,522,175,1187,1.1,692,2,369
1100158,45,1716,525,235,1211,1,1027,2.4,539
1100159,50,2167,344,170,900,1.1,528,2,314
1100160,52,0,542,0,941,1,700,2.5,98
1100161,38,2167,529,280,1853,1.1,1718,3.1,10
1100201,45,1100,423,160,1027,1.1,777,2.4,363
1100202,51,767,466,130,1144,1,771,2.2,601
1100203,52,1138,526,185,1070,1.1,778,1.9,352
1100204,45,2091,392,200,1323,1,771,2.4,308
1100205,38,1559,440,200,1182,1.1,872,2.4,280
1100206,42,1300,441,250,1181,1.1,1034,2.7,587
1100207,44,2167,501,0,1362,1.1,1272,2.6,445
1100208,48,975,595,115,1428,1.1,1271,2.6,496
1100209,50,1625,385,30,1071,1,612,2.2,326
1100210,49,667,384,0,854,1.1,739,2.3,212
1100211,52,1559,365,0,1021,1.1,744,2.1,296
1100212,45,1100,526,92,1297,1.1,1069,2.6,187
1100213,41,2104,546,295,1221,1.1,1199,2.6,377
1100214,43,1872,427,100,1361,1.1,1087,2.6,282
1100215,49,1560,533,395,1125,1.2,900,2.3,260
1100216,45,1950,450,0,1038,1,807,2.7,273
1100217,48,2000,580,92,1333,1.1,1350,2.5,476
1100218,52,1400,451,228,1343,1,1019,2.4,333
1100219,47,758,526,250,1261,1.1,1187,2.5,314
1100220,46,1562,360,70,955,1.1,610,2.5,355
1100221,40,1733,678,80,1725,1,1287,2.5,322
1100222,47,2000,580,277,1600,1.1,1307,2.7,275
1100223,48,1858,516,190,1220,1.1,1166,2.3,498
1100224,48,2474,477,50,1264,1,1144,2.7,423
1100225,46,2600,552,180,1359,1,1220,2.3,253
1100226,44,1700,489,100,1190,1.1,1034,2.5,314
1100227,38,2416,885,320,1869,1.1,1594,2.7,578
1100228,48,1950,547,125,1718,1,1235,2.6,403
1100229,44,2167,700,150,1521,1.1,1512,2.7,350
1100230,44,1083,384,120,992,1.1,836,2.4,218
1100231,54,945,397,96,1125,1,695,2.1,285
1100232,43,2080,452,300,1187,1.1,880,2.7,472
1100233,46,1900,491,60,1303,1.1,941,2.2,210
1100301,38,1667,628,270,1295,1.1,1136,2.6,263
1100302,42,1734,1038,385,2750,1,2307,2.8,597
1100303,44,1517,724,260,1458,1,1352,2,135
1100304,39,2123,672,200,1577,1.1,1512,2.5,246
1100305,42,2167,832,550,2100,1.1,2325,3.1,518
1100306,36,1500,643,260,1630,1.1,1509,2.7,436
1100307,54,1582,538,187,1347,1.1,937,2.1,390
1100308,43,2500,665,175,1643,1,1516,2.7,692
1100309,33,1892,619,238,1723,1.1,1442,2.6,302
1100310,40,1600,592,200,1766,1.1,1264,2.5,477
1100311,40,1608,559,230,1524,1.1,994,2.2,444
1100312,34,1517,590,190,1325,1.1,1164,2.5,580
1100313,36,2383,663,340,1791,1.1,1449,2.9,602
1100314,35,1950,568,225,1629,1.1,1319,2.6,420
1100401,41,1660,557,40,1468,1,1215,2.2,497
1100402,46,1460,608,233,1442,1,955,2.2,184
1100403,35,1235,422,0,971,1.2,749,2.5,294
1100404,33,2700,1199,200,2615,1,2702,3.3,108
1100405,42,3038,938,140,2449,1,2522,2.7,846
1100406,38,2275,1006,380,2230,1.1,2027,2.5,303
1100407,40,2167,1064,250,2555,1.1,2405,2.9,255
1100408,41,2167,1094,160,2600,1.1,2408,3.1,439
1100409,44,5000,1016,0,3068,1.1,2343,3.2,334
1100410,39,3000,739,270,2327,1.1,2042,2.9,149
1100411,35,2600,1005,415,2281,1.1,2136,3.6,380
1100412,41,2000,975,200,2388,1.1,2604,3.1,286
1100413,47,1250,403,70,1273,1.1,1042,2.5,309
1100414,45,1755,1035,0,2650,1.1,2291,2.8,237
1100415,42,2000,733,353,2544,1.1,1874,2.9,228
1100416,36,2210,1101,430,2583,1.2,2062,3.3,409
1100417,37,1855,955,300,2408,1.1,2025,3.1,402
1100419,55,867,627,185,962,1.1,924,1.9,270
1100420,41,1526,713,0,1849,1.1,1455,2.5,0
1100421,52,1083,656,0,1375,1.1,1274,2.2,156
1100422,43,1603,564,0,1241,1.1,971,2.5,417
1100423,45,1473,576,72,939,1.2,924,2.5,224
1100424,41,2184,700,300,1855,1.1,1660,2.7,303
1100425,44,1662,653,193,1518,1.1,1244,2.5,156
1100426,44,2726,788,400,1833,1,1845,2.8,280
1100427,44,3417,783,320,1718,1.2,1856,2.8,506
1100428,48,2709,845,400,2266,1,1974,2.7,335
1100429,49,1547,726,144,1424,1.1,1412,2.3,225
1100430,35,2000,1111,290,2821,1,1874,2.6,363
1100431,42,2134,918,245,2305,1.1,1951,2.6,275
1100432,37,2000,756,140,1523,1.1,1388,2.8,229
1100433,44,1539,531,140,1021,1,841,2.4,577
1100434,36,1322,500,70,1080,1.1,1208,2.8,315
1100501,29,1690,578,370,1772,1,1166,3,308
1100502,36,1083,462,200,1031,1.1,868,2.4,295
1100503,33,1733,593,280,1530,1.1,1368,2.8,171
1100504,44,1452,496,230,1067,1,918,2.4,419
1100505,37,1147,392,180,870,1,632,2.3,473
1100506,36,1083,370,185,668,1.1,718,2.4,565
1100507,32,1268,463,160,738,1.1,684,2.4,580
1100508,33,1300,397,200,722,1,703,2.6,442
1100509,34,1161,453,210,937,1.1,912,2.8,283
1100510,40,1002,395,180,913,1.1,591,2.3,231
1100511,49,1387,432,180,949,1.1,622,2,438
1100512,35,1083,406,173,808,1.1,707,2.3,381
1100513,36,1733,490,275,1432,1.1,1278,2.9,248
1100514,37,1205,463,125,1343,1.1,1213,3.2,492
1100515,39,1733,500,200,1100,1,1149,2.8,346
1100516,47,1097,537,240,1115,1.1,850,2.7,389
1100517,48,1300,572,150,1383,1.1,1375,2.8,450
1100518,44,1248,549,200,924,1.1,1018,2.8,281
1100519,45,1902,369,200,982,1.1,749,2.5,514
1100520,36,1300,515,220,1273,1,1069,2.9,226
1100521,43,912,374,190,820,1.1,554,2.1,269
1100522,42,1254,519,210,978,1,938,2.8,388
1100523,43,520,419,150,825,1,608,1.6,257
1100524,46,1142,392,160,938,1.1,635,2,240
1100525,38,900,427,190,1013,1.1,808,2.3,191
1100526,36,1473,386,210,1266,1.1,814,2.9,308
1100527,37,1296,478,231,1038,1,938,2.4,367
1100528,86,0,355,78,0,1,683,1.1,221
1100529,36,1516,476,175,993,1,863,2.2,447
1100530,45,1050,475,195,1176,1,790,2,165
1100601,47,691,415,140,958,1.1,722,2.3,249
1100602,49,1174,420,150,988,1.1,742,2.1,263
1100603,50,737,376,150,745,1.1,548,2.1,571
1100604,49,867,378,140,1007,1.1,635,2.1,379
1100605,41,1000,475,180,1354,1.1,949,2.5,290
1100606,48,900,422,155,1031,1.1,635,1.9,479
1100607,45,1409,394,148,1292,1.1,911,2.7,320
1100608,50,867,361,150,912,1.1,695,2.2,320
1100609,44,802,397,150,1096,1.1,836,2.5,247
1100610,46,507,322,140,636,1.1,571,2.1,378
1100611,51,834,402,0,739,1,731,2.2,391
1100612,41,1083,497,120,1018,1.1,900,2.8,258
1100613,43,650,567,100,1292,1,1141,2.7,303
1100614,42,1057,366,100,1014,1.1,749,2.8,414
1100615,49,1083,526,0,1235,1.1,822,2.1,495
1100616,42,867,417,5,929,1.1,664,2.3,268
1100617,43,1950,629,100,1327,1.1,949,2.6,164
1100618,46,1200,517,120,1187,1.1,922,2.4,382
1100619,42,1365,537,0,1304,1.1,1141,2.6,404
1100620,48,1261,411,0,1275,1.1,825,2.4,219
1100621,44,1010,451,0,1174,1.1,782,2.4,437
