region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons,SA2_NAME,AREA_SQKM,Persons_Total_Volunteer
201011001,35,1560,609,250,1618,1.1,1405,2.8,8345,Alfredton,52.71122585,1392
201011002,40,1400,575,230,1573,1.1,1120,2.3,12076,Ballarat,12.38635705,2507
201011003,38,1300,534,210,1333,1.1,1011,2.4,22027,Ballarat - North,92.34903291,3699
201011004,35,1288,464,200,1062,1.1,857,2.3,22785,Ballarat - South,32.85409228,3299
201011005,36,1517,531,250,1623,1.1,1409,2.8,6600,Buninyong,51.58399817,1477
201011006,35,1413,515,192,1254,1.1,1071,2.7,5749,Delacombe,34.16083481,741
201011007,39,1603,567,240,1432,1.1,1333,3,3780,Smythes Creek,104.7272726,579
201011008,37,1300,457,178,1050,1.1,834,2.3,14211,Wendouree - Miners Rest,67.57562938,1939
201021009,42,1517,519,180,1343,1.1,1132,2.6,5547,Bacchus Marsh Region,1038.853457,1029
201021010,45,1170,446,155,1094,1.1,879,2.4,7423,Creswick - Clunes,856.7886107,1597
201021011,47,1300,460,200,1067,1.1,842,2.2,8393,Daylesford,920.7577812,2004
201021012,43,1400,508,150,1325,1.1,1141,2.6,5413,Gordon (Vic.),850.315366,1081
201031013,49,940,374,130,866,1.1,673,2.2,3303,Avoca,1714.240292,817
201031014,47,1083,405,130,944,1.1,781,2.3,3833,Beaufort,1863.043226,842
201031015,42,1200,451,130,1130,1.1,959,2.6,4059,Golden Plains - North,922.0811329,735
201031016,48,900,387,160,852,1.1,672,2.2,7631,Maryborough (Vic.),45.53823494,1312
201031017,49,867,371,130,880,1.1,700,2.3,5064,Maryborough Region,1627.568355,1133
202011018,38,1200,484,195,1103,1.1,868,2.2,14507,Bendigo,15.97541089,2357
202011019,38,1192,449,175,973,1.1,790,2.4,10127,California Gully - Eaglehawk,33.03626626,1398
202011020,41,1365,546,220,1345,1,1049,2.3,13681,East Bendigo - Kennington,17.14872443,2708
202011021,33,1300,514,225,1336,1.1,1009,2.4,9189,Flora Hill - Spring Gully,13.20051588,1936
202011022,38,1300,491,200,1112,1.1,901,2.4,18409,Kangaroo Flat - Golden Square,40.88600385,2749
202011023,34,1608,641,260,1668,1.1,1554,3.1,4401,Maiden Gully,43.0064465,744
202011024,35,1625,664,300,1722,1.1,1608,3.1,7031,Strathfieldsaye,56.41432183,1393
202011025,34,1500,567,240,1362,1.1,1182,2.6,8736,White Hills - Ascot,67.77693544,1252
202021026,41,1517,571,190,1433,1.1,1319,2.8,6205,Bendigo Region - South,796.8528275,1177
202021027,46,1277,471,200,1089,1.1,813,2.2,9733,Castlemaine,83.92917846,2280
202021028,48,1200,448,165,1066,1.1,870,2.3,8178,Castlemaine Region,1514.980345,2211
202021029,51,1170,380,155,874,1.1,737,2.2,4073,Heathcote,756.8184141,725
202021030,43,1472,505,220,1309,1.1,1045,2.5,8832,Kyneton,556.4935106,1725
202021031,42,1700,619,250,1754,1.1,1453,2.7,6408,Woodend,211.8643423,1369
202031032,44,1200,472,150,1204,1.1,996,2.6,4163,Bendigo Region - North,1440.21735,928
202031033,50,780,375,100,867,1.1,687,2.2,7026,Loddon,6193.290516,1992
203011034,36,1733,623,260,1646,1.1,1537,3,4713,Bannockburn,192.1519884,691
203011035,39,1380,531,150,1353,1.1,1165,2.8,6216,Golden Plains - South,1484.469151,1174
203011036,41,1473,525,200,1346,1.1,1165,2.7,5687,Winchelsea,903.2496285,1275
203021037,39,1517,528,240,1289,1.1,957,2.2,13616,Belmont,9.36854746,2242
203021038,36,1200,377,186,931,1.1,774,2.5,25844,Corio - Norlane,80.80576313,2406
203021039,38,1490,586,250,1493,1.1,1077,2.2,12066,Geelong,12.67641637,1846
203021040,37,1517,572,230,1468,1.1,1051,2.3,18874,Geelong West - Hamlyn Heights,31.98114079,3012
203021041,37,1616,545,260,1426,1.1,1201,2.6,19702,Grovedale,55.68301667,2924
203021042,40,1733,581,270,1793,1,1424,2.6,19321,Highton,40.67873453,3767
203021043,37,1647,579,265,1578,1.1,1376,2.8,15522,Lara,588.5086711,1969
203021044,39,1565,546,275,1392,1,1191,2.6,10111,Leopold,27.92829363,1517
203021045,41,1343,462,200,1090,1.1,853,2.3,14712,Newcomb - Moolap,43.43438611,1669
203021046,40,1800,642,250,1866,1.1,1327,2.4,9682,Newtown (Vic.),5.791361292,1922
203021047,42,1480,435,235,1169,1.1,933,2.4,13997,North Geelong - Bell Park,21.93339527,1598
203031048,44,1500,489,260,1266,1.1,1029,2.6,11697,Clifton Springs,65.14978612,1887
203031049,48,1598,537,240,1251,1.1,962,2.3,4919,Lorne - Anglesea,447.9910334,1263
203031050,41,1720,602,275,1566,1,1272,2.6,18357,Ocean Grove - Barwon Heads,156.9864177,3570
203031051,55,1517,409,235,941,1,763,2.1,6497,Portarlington,71.85461172,1161
203031052,54,1517,563,249,1379,1,1012,2.2,4072,Queenscliff,61.67470959,1217
203031053,37,2000,671,330,1704,1.1,1446,2.7,15042,Torquay,126.3191965,2829
204011054,49,1300,457,160,1067,1.1,831,2.2,6097,Alexandra,2118.956741,1569
204011055,51,1083,446,150,988,1.1,819,2.2,5950,Euroa,2057.904505,1596
204011056,38,1528,525,230,1356,1.1,1153,2.7,11948,Kilmore - Broadford,461.5222683,1814
204011057,44,1200,496,175,1131,1.1,890,2.3,8153,Mansfield (Vic.),3927.946648,1947
204011058,48,1239,480,180,1086,1.1,893,2.3,3558,Nagambie,1294.350246,692
204011059,42,1127,459,160,1065,1.1,829,2.3,6369,Seymour,79.30868731,1072
204011060,37,1500,598,210,1381,1.1,1259,2.8,4223,Seymour Region,1688.953164,828
204011061,39,1387,360,175,675,1.3,656,2.2,219,Upper Yarra Valley,854.8006259,44
204011062,49,1387,441,180,1071,1.1,841,2.2,3395,Yea,1474.175384,903
