SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,,,,,
10101100101,1100101,,,,,
10101100102,1100102,,,,,
10101100103,1100103,,,,,
10101100104,1100104,,,,,
10101100105,1100105,,,,,
10101100106,1100106,,,,,
10101100107,1100107,,,,,
10101100108,1100108,,,,,
10101100109,1100109,,,,,
10101100110,1100110,,,,,
10101100111,1100111,,,,,
10101100112,1100112,,,,,
10101100113,1100113,,,,,
10101100114,1100114,,,,,
10101100115,1100115,,,,,
10101100116,1100116,,,,,
10101100117,1100117,,,,,
10101100118,1100118,,,,,
10101100119,1100119,,,,,
10101100120,1100120,,,,,
10101100121,1100121,,,,,
10101100122,1100122,,,,,
10101100123,1100123,,,,,
10101100124,1100124,,,,,
10101100125,1100125,,,,,
10101100126,1100126,,,,,
10101100127,1100127,,,,,
10101100128,1100128,,,,,
10101100129,1100129,,,,,
10101100130,1100130,,,,,
10101100131,1100131,,,,,
10101100132,1100132,,,,,
10101100133,1100133,,,,,
10101100134,1100134,,,,,
10101100135,1100135,,,,,
10101100136,1100136,,,,,
10101100137,1100137,,,,,
10101100138,1100138,,,,,
10101100139,1100139,,,,,
10101100140,1100140,,,,,
10101100141,1100141,,,,,
10101100142,1100142,,,,,
10101100143,1100143,,,,,
10101100144,1100144,,,,,
10101100145,1100145,,,,,
10101100146,1100146,,,,,
10101100147,1100147,,,,,
10101100148,1100148,,,,,
10101100149,1100149,,,,,
10101100150,1100150,,,,,
10101100151,1100151,,,,,
10101100152,1100152,,,,,
10101100153,1100153,,,,,
10101100154,1100154,,,,,
10101100155,1100155,,,,,
10101100156,1100156,,,,,
10101100157,1100157,,,,,
10101100158,1100158,,,,,
10101100159,1100159,,,,,
10101100160,1100160,,,,,
10101100161,1100161,,,,,
10101100201,1100201,,,,,
10101100202,1100202,,,,,
10101100203,1100203,,,,,
10101100204,1100204,,,,,
10101100205,1100205,,,,,
10101100206,1100206,,,,,
10101100207,1100207,,,,,
10101100208,1100208,,,,,
10101100209,1100209,,,,,
10101100210,1100210,,,,,
10101100211,1100211,,,,,
10101100212,1100212,,,,,
10101100213,1100213,,,,,
10101100214,1100214,,,,,
10101100215,1100215,,,,,
10101100216,1100216,,,,,
10101100217,1100217,,,,,
10101100218,1100218,,,,,
10101100219,1100219,,,,,
10101100220,1100220,,,,,
10101100221,1100221,,,,,
10101100222,1100222,,,,,
10101100223,1100223,,,,,
10101100224,1100224,,,,,
10101100225,1100225,,,,,
10101100226,1100226,,,,,
10101100227,1100227,,,,,
10101100228,1100228,,,,,
10101100229,1100229,,,,,
10101100230,1100230,,,,,
10101100231,1100231,,,,,
10101100232,1100232,,,,,
10101100233,1100233,,,,,
10101100233,1100233,,,,,
10101100301,1100301,,,,,
10101100302,1100302,,,,,
10101100303,1100303,,,,,
10101100304,1100304,,,,,
10101100305,1100305,,,,,
10101100306,1100306,,,,,
10101100307,1100307,,,,,
10101100308,1100308,,,,,
10101100309,1100309,,,,,
10101100310,1100310,,,,,
10101100311,1100311,,,,,
10101100312,1100312,,,,,
10101100313,1100313,,,,,
10101100314,1100314,,,,,
10101100401,1100401,,,,,
10101100402,1100402,,,,,
10101100403,1100403,,,,,
10101100404,1100404,,,,,
10101100405,1100405,,,,,
10101100406,1100406,,,,,
10101100407,1100407,,,,,
10101100408,1100408,,,,,
10101100409,1100409,,,,,
10101100410,1100410,,,,,
10101100411,1100411,,,,,
10101100412,1100412,,,,,
10101100413,1100413,,,,,
10101100414,1100414,,,,,
10101100415,1100415,,,,,
10101100416,1100416,,,,,
10101100417,1100417,,,,,
10101100418,1100418,,,,,
10101100419,1100419,,,,,
10101100420,1100420,,,,,
10101100421,1100421,,,,,
10101100422,1100422,,,,,
10101100423,1100423,,,,,
10101100424,1100424,,,,,
10101100425,1100425,,,,,
10101100426,1100426,,,,,
10101100427,1100427,,,,,
10101100428,1100428,,,,,
10101100429,1100429,,,,,
10101100430,1100430,,,,,
10101100431,1100431,,,,,
10101100432,1100432,,,,,
10101100433,1100433,,,,,
10101100434,1100434,,,,,
10101100501,1100501,,,,,
10101100502,1100502,,,,,
10101100503,1100503,,,,,
10101100504,1100504,,,,,
10101100505,1100505,,,,,
10101100506,1100506,,,,,
10101100507,1100507,,,,,
10101100508,1100508,,,,,
10101100509,1100509,,,,,
10101100510,1100510,,,,,
10101100511,1100511,,,,,
10101100512,1100512,,,,,
10101100513,1100513,,,,,
10101100514,1100514,,,,,
10101100515,1100515,,,,,
10101100516,1100516,,,,,
10101100517,1100517,,,,,
10101100518,1100518,,,,,
10101100519,1100519,,,,,
10101100520,1100520,,,,,
10101100521,1100521,,,,,
10101100522,1100522,,,,,
10101100523,1100523,,,,,
10101100524,1100524,,,,,
10101100525,1100525,,,,,
10101100526,1100526,,,,,
10101100527,1100527,,,,,
10101100528,1100528,,,,,
10101100529,1100529,,,,,
10101100530,1100530,,,,,
10101100601,1100601,,,,,
10101100602,1100602,,,,,
10101100603,1100603,,,,,
10101100604,1100604,,,,,
10101100605,1100605,,,,,
10101100606,1100606,,,,,
10101100607,1100607,,,,,
10101100608,1100608,,,,,
10101100609,1100609,,,,,
10101100610,1100610,,,,,
10101100611,1100611,,,,,
10101100612,1100612,,,,,
10101100613,1100613,,,,,
10101100614,1100614,,,,,
10101100615,1100615,,,,,
