region_id,Total_Persons_Persons,Median_age_of_persons,Median_total_personal_income_weekly,Median_rent_weekly,Persons_Total_Volunteer,Persons_Year_12_or_equivalent_Total,Born_elsewhere_Persons,No_Internet_connection_Total,Different_usual_address_5_years_ago_Total_Persons,No_Religion_Persons,SA2_NAME,AREA_SQKM
201011001,8345,35,609,250,1392,2813,101,399,3693,1947,Alfredton,52.71122585
201011002,12076,40,575,230,2507,5133,182,1016,5289,3115,Ballarat,12.38635705
201011003,22027,38,534,210,3699,7630,235,2065,8058,5764,Ballarat - North,92.34903291
201011004,22785,35,464,200,3299,7097,388,2479,9331,6636,Ballarat - South,32.85409228
201011005,6600,36,531,250,1477,2870,73,272,2501,1831,Buninyong,51.58399817
201011006,5749,35,515,192,741,1439,70,392,2019,1458,Delacombe,34.16083481
201011007,3780,39,567,240,579,993,26,162,1051,1114,Smythes Creek,104.7272726
201011008,14211,37,457,178,1939,3523,110,1708,5203,3724,Wendouree - Miners Rest,67.57562938
201021009,5547,42,519,180,1029,1584,76,437,1629,1508,Bacchus Marsh Region,1038.853457
201021010,7423,45,446,155,1597,2064,67,801,2121,1986,Creswick - Clunes,856.7886107
201021011,8393,47,460,200,2004,3132,181,780,2657,2956,Daylesford,920.7577812
201021012,5413,43,508,150,1081,1515,66,413,1383,1445,Gordon (Vic.),850.315366
201031013,3303,49,374,130,817,752,33,460,970,792,Avoca,1714.240292
201031014,3833,47,405,130,842,900,34,469,1050,956,Beaufort,1863.043226
201031015,4059,42,451,130,735,1030,34,330,1113,1233,Golden Plains - North,922.0811329
201031016,7631,48,387,160,1312,1555,46,1333,2326,1765,Maryborough (Vic.),45.53823494
201031017,5064,49,371,130,1133,1202,31,676,1336,1400,Maryborough Region,1627.568355
202011018,14507,38,484,195,2357,4439,188,1642,5315,4115,Bendigo,15.97541089
202011019,10127,38,449,175,1398,2229,39,1250,3368,2715,California Gully - Eaglehawk,33.03626626
202011020,13681,41,546,220,2708,5046,194,1293,5069,3023,East Bendigo - Kennington,17.14872443
202011021,9189,33,514,225,1936,3965,99,787,3974,2642,Flora Hill - Spring Gully,13.20051588
202011022,18409,38,491,200,2749,4954,164,1944,6630,5127,Kangaroo Flat - Golden Square,40.88600385
202011023,4401,34,641,260,744,1289,10,136,1557,1172,Maiden Gully,43.0064465
202011024,7031,35,664,300,1393,2456,37,187,2663,1740,Strathfieldsaye,56.41432183
202011025,8736,34,567,240,1252,2464,80,582,3374,2357,White Hills - Ascot,67.77693544
202021026,6205,41,571,190,1177,1904,33,305,1799,1944,Bendigo Region - South,796.8528275
202021027,9733,46,471,200,2280,3167,164,1078,3192,3605,Castlemaine,83.92917846
202021028,8178,48,448,165,2211,2765,100,752,2232,2929,Castlemaine Region,1514.980345
202021029,4073,51,380,155,725,875,37,519,1280,1051,Heathcote,756.8184141
202021030,8832,43,505,220,1725,2824,97,744,3112,2464,Kyneton,556.4935106
202021031,6408,42,619,250,1369,2562,92,306,2037,2131,Woodend,211.8643423
202031032,4163,44,472,150,928,985,26,404,1119,1039,Bendigo Region - North,1440.21735
202031033,7026,50,375,100,1992,1488,54,1022,1642,1553,Loddon,6193.290516
203011034,4713,36,623,260,691,1400,38,193,1805,1169,Bannockburn,192.1519884
203011035,6216,39,531,150,1174,1708,63,373,1865,1926,Golden Plains - South,1484.469151
203011036,5687,41,525,200,1275,1765,44,393,1509,1643,Winchelsea,903.2496285
203021037,13616,39,528,240,2242,5081,227,1488,4887,3682,Belmont,9.36854746
203021038,25844,36,377,186,2406,5399,1092,3129,7832,6517,Corio - Norlane,80.80576313
