SA1_MAINCODE_2011,SSC_CODE_2011
12702151038,10001
12702151029,10001
12702151044,10001
12702151028,10001
12702151039,10001
12702151043,10001
12702151047,10001
12702151041,10001
12702151048,10001
12702151023,10001
12702151025,10001
12702151045,10001
12702151049,10001
12702151042,10001
12001138603,10002
12001138608,10002
12001138625,10002
12001138627,10002
12001138630,10002
12001138601,10002
12001138638,10002
12001138607,10002
12001138629,10002
12001138602,10002
12001138628,10002
12001138626,10002
12001138636,10002
10301105811,10003
10301105812,10003
10601110809,10004
10601110808,10004
10601110839,10004
10601110840,10004
10601110838,10004
10601110841,10004
10601110810,10004
10604112903,10005
10604112905,10005
10604112902,10005
10604112901,10005
10604112904,10005
11001118710,10006
10602111713,10007
10602111712,10007
10602111742,10007
10602111705,10007
10602111716,10007
10602111717,10007
10601111124,10008
10601111142,10008
10601111139,10008
10601111122,10008
10601111141,10008
10601111140,10008
10601111123,10008
10601111101,10008
10601110904,10009
11602131116,10010
11602131111,10010
11602131131,10010
11602131115,10010
11602131119,10010
11602131120,10010
11602131112,10010
11602131117,10010
10103101511,10011
11103122221,10012
11103122240,10012
11103122213,10012
11103122208,10012
11103122220,10012
11103122238,10012
11103122215,10012
11103122219,10012
11103122210,10012
11103122212,10012
11103122209,10012
11103122239,10012
11103122214,10012
11103122237,10012
11103122218,10012
11103122217,10012
11103122211,10012
11103122235,10013
11103122201,10013
11103122206,10013
11103122205,10013
11103122225,10013
11103122204,10013
11103122228,10013
11103122227,10013
11103122207,10013
11103122233,10013
11103122236,10013
11103122234,10013
11302126214,10014
11302126212,10014
12404146819,10015
12404146603,10015
12302143639,10016
12302143621,10016
12302143601,10016
12302143602,10016
12302143622,10016
12302143603,10016
12302143606,10016
12302143605,10016
12302143638,10016
10104102722,10017
10703113626,10018
10703113617,10018
10703113623,10018
10703113620,10018
10703113610,10018
10703113632,10018
10703113604,10018
10703113630,10018
10703113628,10018
10703113601,10018
10703113633,10018
10703113618,10018
10703113627,10018
10703113602,10018
10703113611,10018
10703113622,10018
10703113631,10018
10703113635,10018
10703113625,10018
10703113619,10018
10703113634,10018
10703113612,10018
10703113621,10018
10703113613,10018
10703113609,10018
10703113624,10018
10703113603,10018
10703113616,10018
10703113629,10018
10703113614,10018
10703113615,10018
10703113605,10018
10703113705,10019
10703113719,10019
10703113718,10019
10703113721,10019
10703113706,10019
10703113720,10019
10703113708,10019
10703113713,10019
10703113710,10019
10703113704,10019
10703113712,10019
10703113722,10019
10703113709,10019
10703113701,10019
10703113714,10019
10703113702,10019
10703113707,10019
10703113715,10019
10703113711,10019
10703113703,10019
10703113716,10019
10703113717,10019
10901117406,10020
10901117423,10020
10901117403,10020
10901117428,10020
10901117401,10020
10901117426,10020
10901117427,10020
10901117404,10020
10901117402,10020
10901117422,10020
10901117425,10020
10901117405,10020
10901117424,10020
10802115535,10021
10802115504,10021
10802115536,10021
11703133020,10022
11703133007,10022
11703133022,10022
11703133023,10022
11703133008,10022
11703133006,10022
11703133024,10022
11703133009,10022
11703133012,10022
11703133019,10022
11703133015,10022
11703133018,10022
11703133010,10022
11703133016,10022
11703133011,10022
11703133013,10022
11703133017,10022
11703133014,10022
12802153423,10023
12802153421,10023
12802153420,10023
12802153419,10023
12802153431,10023
12802153428,10023
12802153422,10023
12802153402,10023
12802153425,10023
12802153424,10023
12802153426,10023
10601111019,10024
12203143035,10025
12203143009,10025
12203143021,10025
12203143008,10025
12203143028,10025
12203143010,10025
12203143037,10025
12203143004,10025
12203143022,10025
12203143038,10025
12203143027,10025
12203143011,10025
12203143013,10025
12203143034,10025
12203143012,10025
12203143014,10025
12203143036,10025
10601110706,10026
11904137934,10027
11904137903,10027
11904137912,10027
11904137906,10027
11904137905,10027
11904137902,10027
11904137929,10027
11904137913,10027
11904137904,10027
11904137901,10027
11904137935,10027
10802115913,10028
10801115106,10029
10601111016,10030
11201123725,10031
11201123740,10032
11201123701,10032
11201123716,10032
11201123745,10032
11201123741,10032
11201123744,10032
11201123736,10032
11201123737,10032
11201123742,10032
11201123746,10032
11201123739,10032
11201123702,10032
11201123738,10032
11201123731,10032
11201123715,10032
11201123743,10032
11201123703,10032
10401108036,10033
12302144441,10034
12302144445,10034
12302144446,10034
12302144424,10034
12302144426,10034
12302144402,10034
12302144438,10034
12302144407,10034
12302144411,10034
12302144406,10034
12302144405,10034
12302144444,10034
12302144436,10034
12302144408,10034
12302144437,10034
12302144420,10034
12302144425,10034
12302144403,10034
12302144453,10034
12302144404,10034
10104102017,10035
10103101513,10036
10401108208,10037
10603111915,10038
10603111912,10038
10603111901,10038
10603111916,10038
10603111911,10038
10603111905,10038
10603111909,10038
10603111907,10038
10603111914,10038
10603111913,10038
10603111902,10038
12002138817,10039
12002138841,10039
12002138848,10039
12002138811,10039
12002138812,10039
12002138855,10039
12002138854,10039
12002138804,10039
12002138849,10039
12002138830,10039
12002138852,10039
12002138816,10039
12002138851,10039
12002138853,10039
12002138840,10039
12002138818,10039
12002138850,10039
12002138814,10039
12002138803,10039
12002138813,10039
12002138815,10039
11502129751,10040
11502129753,10040
11502129752,10040
12303144604,10041
12303144605,10041
12303144606,10041
12303144617,10041
10503110601,10042
10802116008,10043
10802116010,10043
10802116009,10043
10102100707,10044
11502129811,10045
11502129808,10045
11502129809,10045
11502129803,10045
11102122010,10046
11102122013,10046
11102122012,10046
11001118808,10047
11303126620,10048
11101120940,10049
11101120906,10049
11101120905,10049
10802115916,10050
11303126619,10051
11303126622,10051
10503110405,10052
11001118621,10053
11001118624,10053
11001118653,10053
11001118638,10053
11001118654,10053
11001118640,10053
11001118636,10053
11001118626,10053
11001118647,10053
11001118646,10053
11001118629,10053
11001118604,10053
11001118642,10053
11001118616,10053
11001118602,10053
11001118633,10053
11001118614,10053
11001118628,10053
11001118620,10053
11001118652,10053
11001118603,10053
11001118630,10053
11001118617,10053
11001118639,10053
11001118613,10053
11001118611,10053
11001118643,10053
11001118619,10053
11001118607,10053
11001118637,10053
11001118612,10053
11001118625,10053
11001118635,10053
11001118622,10053
11001118605,10053
11001118609,10053
11001118618,10053
11001118649,10053
11001118606,10053
11001118615,10053
11001118641,10053
11001118650,10053
11001118610,10053
11001118601,10053
11001118608,10053
11001118644,10053
11001118645,10053
11001118648,10053
11001118631,10053
11001118627,10053
11001118623,10053
11001118651,10053
11001118632,10053
11001118634,10053
11904137527,10054
11904137502,10054
11904137531,10054
11904137507,10054
11904137532,10054
11904137505,10054
11904137503,10054
11904137526,10054
11904137501,10054
11904137504,10054
11904137535,10054
11904137514,10054
11904137530,10054
11904137513,10054
11904137520,10054
11904138136,10054
11904137508,10054
11904137534,10054
11904137510,10054
11904137533,10054
11603131801,10055
10402109122,10056
10402109123,10057
12101139818,10058
12101139817,10058
12101139851,10058
12101140107,10058
12101139853,10058
12101139815,10058
12101139843,10058
12101139854,10058
12101139813,10058
12101139840,10058
12101139822,10058
12101139837,10058
12101139836,10058
12101139852,10058
12101139821,10058
12101140106,10058
12101139841,10058
12101139832,10058
12101140105,10058
12101139835,10058
12101139842,10058
12101139819,10058
12101139838,10058
12101139816,10058
12101139814,10058
12101139839,10058
12003139207,10059
12003139204,10059
12003139205,10059
12003139208,10059
12003139226,10059
12003139206,10059
12003139223,10059
12003139225,10059
12003139224,10059
10401108130,10060
10401108129,10061
12701150418,10062
12701150417,10062
12701150438,10062
12701150422,10062
12701150419,10062
12701150420,10062
12701150421,10062
12003139042,10063
12003139046,10063
12003139006,10063
12003139019,10063
12003139004,10063
12003139034,10063
12003139049,10063
12003139011,10063
12003139050,10063
12003139013,10063
12003139025,10063
12003139017,10063
12003139021,10063
12003139031,10063
12003139023,10063
12003139016,10063
12003139008,10063
12003139030,10063
12003139036,10063
12003139020,10063
12003139028,10063
