sa1,ssc
1151038,10001
1151029,10001
1151044,10001
1151028,10001
1151039,10001
1151043,10001
1151047,10001
1151041,10001
1151048,10001
1151023,10001
1151025,10001
1151045,10001
1151049,10001
1151042,10001
1138603,10002
1138608,10002
1138625,10002
1138627,10002
1138630,10002
1138601,10002
1138638,10002
1138607,10002
1138629,10002
1138602,10002
1138628,10002
1138626,10002
1138636,10002
1105811,10003
1105812,10003
1110809,10004
1110808,10004
1110839,10004
1110840,10004
1110838,10004
1110841,10004
1110810,10004
1112903,10005
1112905,10005
1112902,10005
1112901,10005
1112904,10005
1118710,10006
1111713,10007
1111712,10007
1111742,10007
1111705,10007
1111716,10007
1111717,10007
1111124,10008
1111142,10008
1111139,10008
1111122,10008
1111141,10008
1111140,10008
1111123,10008
1111101,10008
1110904,10009
1131116,10010
1131111,10010
1131131,10010
1131115,10010
1131119,10010
1131120,10010
1131112,10010
1131117,10010
1101511,10011
1122221,10012
1122240,10012
1122213,10012
1122208,10012
1122220,10012
1122238,10012
1122215,10012
1122219,10012
1122210,10012
1122212,10012
1122209,10012
1122239,10012
1122214,10012
1122237,10012
1122218,10012
1122217,10012
1122211,10012
1122235,10013
1122201,10013
1122206,10013
1122205,10013
1122225,10013
1122204,10013
1122228,10013
1122227,10013
1122207,10013
1122233,10013
1122236,10013
1122234,10013
1126214,10014
1126212,10014
1146819,10015
1146603,10015
1143639,10016
1143621,10016
1143601,10016
1143602,10016
1143622,10016
1143603,10016
1143606,10016
1143605,10016
1143638,10016
1102722,10017
1113626,10018
1113617,10018
1113623,10018
1113620,10018
1113610,10018
1113632,10018
1113604,10018
1113630,10018
1113628,10018
1113601,10018
1113633,10018
1113618,10018
1113627,10018
1113602,10018
1113611,10018
1113622,10018
1113631,10018
1113635,10018
1113625,10018
1113619,10018
1113634,10018
1113612,10018
1113621,10018
1113613,10018
1113609,10018
1113624,10018
1113603,10018
1113616,10018
1113629,10018
1113614,10018
1113615,10018
1113605,10018
1113705,10019
1113719,10019
1113718,10019
1113721,10019
1113706,10019
1113720,10019
1113708,10019
1113713,10019
1113710,10019
1113704,10019
1113712,10019
1113722,10019
1113709,10019
1113701,10019
1113714,10019
1113702,10019
1113707,10019
1113715,10019
1113711,10019
1113703,10019
1113716,10019
1113717,10019
1117406,10020
1117423,10020
1117403,10020
1117428,10020
1117401,10020
1117426,10020
1117427,10020
1117404,10020
1117402,10020
1117422,10020
1117425,10020
1117405,10020
1117424,10020
1115535,10021
1115504,10021
1115536,10021
1133020,10022
1133007,10022
1133022,10022
1133023,10022
1133008,10022
1133006,10022
1133024,10022
1133009,10022
1133012,10022
1133019,10022
1133015,10022
1133018,10022
1133010,10022
1133016,10022
1133011,10022
1133013,10022
1133017,10022
1133014,10022
1153423,10023
1153421,10023
1153420,10023
1153419,10023
1153431,10023
1153428,10023
1153422,10023
1153402,10023
1153425,10023
1153424,10023
1153426,10023
1111019,10024
1143035,10025
1143009,10025
1143021,10025
1143008,10025
1143028,10025
1143010,10025
1143037,10025
1143004,10025
1143022,10025
1143038,10025
1143027,10025
1143011,10025
1143013,10025
1143034,10025
1143012,10025
1143014,10025
1143036,10025
1110706,10026
1137934,10027
1137903,10027
1137912,10027
1137906,10027
1137905,10027
1137902,10027
1137929,10027
1137913,10027
1137904,10027
1137901,10027
1137935,10027
1115913,10028
1115106,10029
1111016,10030
1123725,10031
1123740,10032
1123701,10032
1123716,10032
1123745,10032
1123741,10032
1123744,10032
1123736,10032
1123737,10032
1123742,10032
1123746,10032
1123739,10032
1123702,10032
1123738,10032
1123731,10032
1123715,10032
1123743,10032
1123703,10032
1108036,10033
1144441,10034
1144445,10034
1144446,10034
1144424,10034
1144426,10034
1144402,10034
1144438,10034
1144407,10034
1144411,10034
1144406,10034
1144405,10034
1144444,10034
1144436,10034
1144408,10034
1144437,10034
1144420,10034
1144425,10034
1144403,10034
1144453,10034
1144404,10034
1102017,10035
1101513,10036
1108208,10037
1111915,10038
1111912,10038
1111901,10038
1111916,10038
1111911,10038
1111905,10038
1111909,10038
1111907,10038
1111914,10038
1111913,10038
1111902,10038
1138817,10039
1138841,10039
1138848,10039
1138811,10039
1138812,10039
1138855,10039
1138854,10039
1138804,10039
1138849,10039
1138830,10039
1138852,10039
1138816,10039
1138851,10039
1138853,10039
1138840,10039
1138818,10039
1138850,10039
1138814,10039
1138803,10039
1138813,10039
1138815,10039
1129751,10040
1129753,10040
1129752,10040
1144604,10041
1144605,10041
1144606,10041
1144617,10041
1110601,10042
1116008,10043
1116010,10043
1116009,10043
1100707,10044
1129811,10045
1129808,10045
1129809,10045
1129803,10045
1122010,10046
1122013,10046
1122012,10046
1118808,10047
1126620,10048
1120940,10049
1120906,10049
1120905,10049
1115916,10050
1126619,10051
1126622,10051
1110405,10052
1118621,10053
1118624,10053
1118653,10053
1118638,10053
1118654,10053
1118640,10053
1118636,10053
1118626,10053
1118647,10053
1118646,10053
1118629,10053
1118604,10053
1118642,10053
1118616,10053
1118602,10053
1118633,10053
1118614,10053
1118628,10053
1118620,10053
1118652,10053
1118603,10053
1118630,10053
1118617,10053
1118639,10053
1118613,10053
1118611,10053
1118643,10053
1118619,10053
1118607,10053
1118637,10053
1118612,10053
1118625,10053
1118635,10053
1118622,10053
1118605,10053
1118609,10053
1118618,10053
1118649,10053
1118606,10053
1118615,10053
1118641,10053
1118650,10053
1118610,10053
1118601,10053
1118608,10053
1118644,10053
1118645,10053
1118648,10053
1118631,10053
1118627,10053
1118623,10053
