region_id,suburb_name
SSC10001,Abbotsbury
SSC10002,Abbotsford (NSW)
SSC10003,Abercrombie
SSC10004,Aberdare
SSC10005,Aberdeen (NSW)
SSC10006,Aberfoyle
SSC10007,Aberglasslyn
SSC10008,Abermain
SSC10009,Abernethy
SSC10010,Acacia Gardens
SSC10011,Adaminaby
SSC10012,Adamstown
SSC10013,Adamstown Heights
SSC10014,Adelong
SSC10015,Agnes Banks
SSC10016,Airds
SSC10017,Akolele
SSC10018,Albion Park
SSC10019,Albion Park Rail
SSC10020,Albury
SSC10021,Aldavilla
SSC10022,Alexandria
SSC10023,Alfords Point
SSC10024,Alison (Dungog - NSW)
SSC10025,Allambie Heights
SSC10026,Allandale (NSW)
SSC10027,Allawah
SSC10028,Allgomera
SSC10029,Allworth
SSC10030,Allynbrook
SSC10031,Alstonvale
SSC10032,Alstonville
SSC10033,Alumy Creek
SSC10034,Ambarvale
SSC10035,Angledale
SSC10036,Anglers Reach
SSC10037,Angourie
SSC10038,Anna Bay
SSC10039,Annandale (NSW)
SSC10040,Annangrove
SSC10041,Appin (NSW)
SSC10042,Apsley (NSW)
SSC10043,Arakoon
SSC10044,Araluen (NSW)
SSC10045,Arcadia (NSW)
SSC10046,Arcadia Vale
SSC10047,Arding
SSC10048,Ardlethan
SSC10049,Argenton
SSC10050,Argents Hill
SSC10051,Ariah Park
SSC10052,Armatree
SSC10053,Armidale
SSC10054,Arncliffe
SSC10055,Arndell Park
SSC10056,Arrawarra
SSC10057,Arrawarra Headland
SSC10058,Artarmon
SSC10059,Ashbury
SSC10060,Ashby (NSW)
SSC10061,Ashby Heights
SSC10062,Ashcroft
SSC10063,Ashfield (NSW)
SSC10064,Ashford (NSW)
SSC10065,Ashley
SSC10066,Ashmont
SSC10067,Ashtonfield
SSC10068,Asquith
SSC10069,Attunga
SSC10070,Auburn (NSW)
SSC10071,Austinmer
SSC10072,Austral
SSC10073,Avalon (NSW)
SSC10074,Avoca Beach
SSC10075,Awaba
SSC10076,Aylmerton
SSC10077,Baan Baa
SSC10078,Backmede
SSC10079,Badgerys Creek
SSC10080,Balaclava (NSW)
SSC10081,Balala
SSC10082,Balcolyn
SSC10083,Bald Hills (NSW)
SSC10084,Balgowlah
SSC10085,Balgowlah Heights
SSC10086,Balgownie
SSC10087,Balladoran
SSC10088,Ballimore
SSC10089,Ballina
SSC10090,Balmain
SSC10091,Balmain East
SSC10092,Balmoral (Lake Macquarie - NSW)
SSC10093,Balmoral (Wingecarribee - NSW)
SSC10094,Balranald
SSC10095,Bandon Grove
SSC10096,Bangalee (NSW)
SSC10097,Bangalow
SSC10098,Bangheet
SSC10099,Bangor (NSW)
SSC10100,Banksia
SSC10101,Banksmeadow
SSC10102,Bankstown
SSC10103,Bankstown Aerodrome
SSC10104,Bannaby
SSC10105,Bannister (NSW)
SSC10106,Banora Point
SSC10107,Bar Beach
SSC10108,Bar Point
SSC10109,Baradine
SSC10110,Barangaroo
SSC10111,Barcoongere
SSC10112,Barden Ridge
SSC10113,Bardwell Park
SSC10114,Bardwell Valley
SSC10115,Barellan
SSC10116,Bargo
SSC10117,Barham
SSC10118,Barkers Vale
SSC10119,Barmedman
SSC10120,Barnsley
SSC10121,Barooga
SSC10122,Barraba
SSC10123,Barrack Heights
SSC10124,Barrack Point
SSC10125,Barrengarry
SSC10126,Barrington (NSW)
SSC10127,Barry (Blayney - NSW)
SSC10128,Basin View
SSC10129,Bass Hill
SSC10130,Bateau Bay
SSC10131,Batehaven
SSC10132,Batemans Bay
SSC10133,Bathurst
SSC10134,Batlow
SSC10135,Baulkham Hills
SSC10136,Baw Baw (NSW)
SSC10137,Bawley Point
SSC10138,Bayview (NSW)
SSC10139,Beacon Hill
SSC10140,Beaconsfield (NSW)
SSC10141,Beaumont (NSW)
SSC10142,Beaumont Hills
SSC10143,Beckom
SSC10144,Bedgerebong
SSC10145,Beechwood
SSC10146,Beecroft
SSC10147,Beecroft Peninsula
SSC10148,Beelbangera
SSC10149,Bega
SSC10150,Belbora
SSC10151,Belfield
SSC10152,Belgravia
SSC10153,Belimbla Park
SSC10154,Bella Vista
SSC10155,Bellambi
SSC10156,Bellangry
SSC10157,Bellata
SSC10158,Bellawongarah
SSC10159,Bellbird
SSC10160,Bellbird Heights
SSC10161,Bellbrook
SSC10162,Bellevue Hill
SSC10163,Bellingen
SSC10164,Belmont (NSW)
SSC10165,Belmont North
SSC10166,Belmont South
SSC10167,Belmore
SSC10168,Belmore River
SSC10169,Belrose
SSC10170,Bemboka
SSC10171,Ben Lomond (NSW)
SSC10172,Bendalong
SSC10173,Bendemeer
SSC10174,Bendick Murrell
SSC10175,Bendolba
SSC10176,Benerembah
SSC10177,Beni
SSC10178,Bensville
SSC10179,Bentley (NSW)
SSC10180,Berala
SSC10181,Berambing
SSC10182,Beresfield
SSC10183,Bergalia
SSC10184,Berkeley
SSC10185,Berkeley Vale
SSC10186,Berkshire Park
SSC10187,Bermagui
SSC10188,Berowra
SSC10189,Berowra Creek
SSC10190,Berowra Heights
SSC10191,Berrambool
SSC10192,Berrara
SSC10193,Berridale
SSC10194,Berrigan
SSC10195,Berrilee
SSC10196,Berrima
SSC10197,Berry
SSC10198,Bethungra
SSC10199,Beverley Park
SSC10200,Beverly Hills
SSC10201,Bexhill
SSC10202,Bexley
SSC10203,Bexley North
SSC10204,Bibbenluke
SSC10205,Biddon
SSC10206,Bidwill (NSW)
SSC10207,Big Springs
SSC10208,Bigga
SSC10209,Bilambil
SSC10210,Bilambil Heights
SSC10211,Bilbul
SSC10212,Bilgola
SSC10213,Billinudgel
SSC10214,Billywillinga
SSC10215,Bilpin
SSC10216,Binalong
SSC10217,Binda
SSC10218,Bingara
SSC10219,Bingie
SSC10220,Biniguy
SSC10221,Binjura
SSC10222,Binna Burra (NSW)
SSC10223,Binnaway
SSC10224,Binya
SSC10225,Birchgrove
SSC10226,Birmingham Gardens
SSC10227,Birrong
SSC10228,Bishops Bridge
SSC10229,Bithramere
SSC10230,Black Head
SSC10231,Black Hill (NSW)
SSC10232,Black Mountain (NSW)
SSC10233,Black Springs (NSW)
SSC10234,Blackalls Park
SSC10235,Blackbutt (NSW)
SSC10236,Blackett
SSC10237,Blackheath (NSW)
SSC10238,Blackmans Point
SSC10239,Blacksmiths
SSC10240,Blacktown
SSC10241,Blackwall (NSW)
SSC10242,Blair Athol (NSW)
SSC10243,Blairmount
SSC10244,Blakehurst
SSC10245,Blandford
SSC10246,Blaxland (NSW)
SSC10247,Blaxlands Ridge
SSC10248,Blayney
SSC10249,Bligh Park
SSC10250,Blighty
SSC10251,Blue Bay
SSC10252,Blue Haven
SSC10253,Blue Knob
SSC10254,Blue Mountains National Park
SSC10255,Boambee
SSC10256,Boambee East
SSC10257,Boat Harbour (Port Stephens - NSW)
SSC10258,Bobs Farm
SSC10259,Bodalla
SSC10260,Bogan Gate
SSC10261,Bogangar
SSC10262,Boggabilla
SSC10263,Boggabri
SSC10264,Bolton Point
SSC10265,Bolwarra (NSW)
SSC10266,Bolwarra Heights
SSC10267,Bomaderry
SSC10268,Bombala
SSC10269,Bombira
SSC10270,Bombo
SSC10271,Bombowlee
SSC10272,Bomen
SSC10273,Bomera
SSC10274,Bonalbo
SSC10275,Bondi
SSC10276,Bondi Beach
SSC10277,Bondi Junction
SSC10278,Bonnells Bay
SSC10279,Bonnet Bay
SSC10280,Bonny Hills
SSC10281,Bonnyrigg
SSC10282,Bonnyrigg Heights
SSC10283,Bonville
SSC10284,Booerie Creek
SSC10285,Booker Bay
SSC10286,Bookham
SSC10287,Boolambayte
SSC10288,Boolaroo
SSC10289,Booligal
SSC10290,Boomanoomana
SSC10291,Boomerang Beach
SSC10292,Booragul
SSC10293,Booral (NSW)
SSC10294,Boorolong
SSC10295,Boorooma
SSC10296,Boorowa
SSC10297,Bootawa
SSC10298,Bora Ridge
SSC10299,Borambola
SSC10300,Boree Creek
SSC10301,Borenore
SSC10302,Bossley Park
SSC10303,Botany
SSC10304,Botany Bay
SSC10305,Bouddi
SSC10306,Bourke
SSC10307,Bourkelands
SSC10308,Bournda
SSC10309,Bow Bowing
SSC10310,Bowan Park
SSC10311,Bowen Mountain
SSC10312,Bowenfels
SSC10313,Bowman
SSC10314,Bowning
SSC10315,Bowral
SSC10316,Bowraville
SSC10317,Box Head
SSC10318,Box Hill (NSW)
SSC10319,Boydtown
SSC10320,Bradbury (NSW)
SSC10321,Braemar
SSC10322,Braidwood
SSC10323,Brandy Hill
SSC10324,Branxton
SSC10325,Braunstone
SSC10326,Bray Park (NSW)
SSC10327,Breadalbane (NSW)
SSC10328,Breakfast Creek
SSC10329,Breakfast Point
SSC10330,Bream Beach
SSC10331,Bredbo
SSC10332,Brewarrina
SSC10333,Brewongle
SSC10334,Bribbaree
SSC10335,Bridgman
SSC10336,Brierfield
SSC10337,Brighton-le-Sands
SSC10338,Brightwaters
SSC10339,Bringelly
SSC10340,Brisbane Grove
SSC10341,Broadmeadow
SSC10342,Broadwater (Richmond Valley - NSW)
SSC10343,Broadway
SSC10344,Brocklehurst
SSC10345,Brocklesby
SSC10346,Brogo
SSC10347,Broke (NSW)
SSC10348,Broken Head
SSC10349,Broken Hill
SSC10350,Bronte
SSC10351,Brookdale (NSW)
SSC10352,Brookfield (NSW)
SSC10353,Brooklet
SSC10354,Brooklyn (NSW)
SSC10355,Brookvale
SSC10356,Brooms Head
SSC10357,Broughton Vale
SSC10358,Broulee
SSC10359,Brownlow Hill
SSC10360,Brownsville
SSC10361,Bruah
SSC10362,Brungle
SSC10363,Brunswick Heads
SSC10364,Brushgrove
SSC10365,Bucca (NSW)
SSC10366,Buckajo
SSC10367,Budgee Budgee (NSW)
SSC10368,Budgewoi
SSC10369,Budgewoi Peninsula
SSC10370,Buff Point
SSC10371,Bugaldie
