region_id,population,median_age,median_mortgage,median_personal_income,median_rent,median_family_income,average_people_per_bedroom,median_total_household_income,average_household_size
SSC10001,4178,35,2200,616,433,1965,1,1971,3.5
SSC10002,5038,41,3000,826,430,2248,1.1,1727,2.3
SSC10003,992,34,1885,765,320,2067,1.1,1849,3.1
SSC10004,2365,33,1517,464,240,1110,1.1,936,2.5
SSC10005,2070,36,1733,591,210,1604,1.1,1370,2.5
SSC10006,225,39,1525,573,50,1036,1.1,937,2.7
SSC10007,2804,31,2015,668,360,1990,1,1947,3.2
SSC10008,2276,36,1348,433,200,1175,1.1,1013,2.7
SSC10009,207,33,838,460,4108,1125,1.1,850,2.9
SSC10010,3660,32,2500,837,450,2204,1.1,2217,3.4
SSC10011,405,45,950,393,130,942,1.1,766,2.1
SSC10012,5528,35,1950,626,270,1641,1.1,1214,2.3
SSC10013,5060,41,1950,626,315,1741,1,1448,2.6
SSC10014,863,40,1170,411,160,1088,1.1,832,2.4
SSC10015,790,33,2300,670,320,1758,1.1,1572,3.2
SSC10016,3591,26,1213,310,144,641,1.2,544,2.9
SSC10017,130,26,0,256,98,460,1.2,609,3.7
SSC10018,12657,33,1993,556,310,1607,1.1,1483,3
SSC10019,6860,37,1733,466,255,1208,1.1,1028,2.7
SSC10020,5338,41,1733,645,210,1673,1.1,1120,2.1
SSC10021,1129,37,1415,479,190,1150,1.1,988,2.7
SSC10022,6914,33,2500,1168,480,2501,1.2,2075,2
SSC10023,3263,38,2500,707,530,2483,1,2496,3.6
SSC10024,295,50,1950,539,140,1307,1.1,1224,2.2
SSC10025,6562,41,3000,631,325,2171,1.1,1689,2.8
SSC10026,308,46,2817,572,250,1974,1.1,1562,2.7
SSC10027,5347,35,2000,568,360,1300,1.3,1204,2.5
SSC10028,154,42,1142,320,225,1300,1.3,700,3
SSC10029,176,38,975,394,220,1031,1.1,875,2.6
SSC10030,218,46,1500,378,100,1199,1.1,777,2.5
SSC10031,414,47,2167,594,370,1619,1,1341,2.6
SSC10032,5540,48,1517,477,265,1121,1.1,888,2.3
SSC10033,160,46,2600,438,285,1375,1.1,979,2.6
SSC10034,7155,31,1733,497,250,1237,1.1,1160,3
SSC10035,271,37,1105,568,203,1266,1.1,1147,2.6
SSC10036,596,50,2000,566,88,1112,1,1054,2.2
SSC10037,167,50,1408,571,280,1025,1.2,791,2.2
SSC10038,3631,42,1825,445,295,1085,1.1,901,2.5
SSC10039,8480,36,2947,1069,450,2739,1.2,2086,2.2
SSC10040,1350,39,3000,668,320,2187,1.1,1967,3.4
SSC10041,1802,35,2100,657,270,1786,1.1,1663,3.1
SSC10042,60,41,0,268,100,974,1,533,2.7
SSC10043,497,51,1343,482,200,1198,1,952,2.3
SSC10044,286,54,1538,497,160,1294,1.1,858,2.1
SSC10045,1266,40,3000,699,300,2150,1.1,1756,2.9
SSC10046,1341,42,1700,567,280,1414,1.1,1273,2.6
SSC10047,266,49,1625,416,125,1375,1.1,966,2.7
SSC10048,342,50,607,334,90,558,1.1,552,2.1
SSC10049,1372,40,1603,395,208,970,1.2,810,2.4
SSC10050,377,50,1163,361,140,772,1.2,696,2.2
SSC10051,671,44,784,373,95,807,1.1,679,2.4
SSC10052,275,42,1640,529,0,1218,1.1,907,2.7
SSC10053,22908,34,1470,488,210,1293,1.1,986,2.4
SSC10054,8380,36,2277,470,340,1385,1.3,1251,2.9
SSC10056,614,66,1246,344,180,687,1.1,563,1.9
SSC10057,464,46,1150,531,263,1086,1,909,2.5
SSC10058,8775,34,2500,936,460,2402,1.2,1910,2.4
SSC10059,3107,41,2500,621,443,1921,1.1,1693,3
SSC10060,334,52,1430,495,220,1029,1.1,808,2.3
SSC10061,287,42,1652,364,150,974,1.2,663,2.5
SSC10062,3299,32,1647,343,150,869,1.2,694,3
SSC10063,22206,35,2100,574,365,1458,1.3,1314,2.4
SSC10064,877,50,650,337,120,739,1.1,669,2.4
SSC10065,333,35,1083,557,185,1317,1.1,1104,2.7
SSC10066,3948,31,1300,443,167,908,1.1,770,2.5
SSC10067,4424,36,1800,689,333,1944,1,1827,3
SSC10068,3418,39,2200,639,400,1910,1.1,1643,2.8
SSC10069,739,40,1200,570,150,1205,1.1,1048,2.5
SSC10070,33083,29,1800,352,320,957,1.4,968,3.3
SSC10071,2405,40,2167,756,400,2145,1.1,1786,2.7
SSC10072,2990,39,2329,391,300,1244,1.2,1191,3.2
SSC10073,10193,43,3000,752,510,2146,1.1,1810,2.7
SSC10074,4222,40,2167,646,330,1704,1.1,1458,2.8
SSC10075,336,37,1733,480,165,1403,1.1,1125,2.8
SSC10076,240,41,1500,557,175,1149,1.1,1375,2.7
SSC10077,498,47,1473,524,0,1115,1.1,924,2.5
SSC10078,271,45,1300,434,100,963,1.1,966,2.8
SSC10079,444,34,1733,413,320,1158,1.2,1172,3.5
SSC10080,398,41,2000,531,190,1388,1,1125,2.7
SSC10081,315,46,800,436,130,969,1.1,872,2.6
SSC10082,785,42,1820,481,280,1119,1.1,970,2.5
SSC10083,289,41,1926,532,313,1241,1.2,1133,2.8
SSC10084,7317,37,2836,903,490,2439,1.2,1912,2.5
SSC10085,3196,40,3987,915,818,2841,1,2695,3.1
SSC10086,5326,41,2167,541,290,1642,1.1,1308,2.6
SSC10087,224,46,2000,395,120,1017,1.1,956,2.7
SSC10088,170,49,1083,554,160,1075,1.1,1104,2.7
SSC10089,8268,51,1560,414,250,906,1.1,683,2
SSC10090,9667,38,3033,1208,485,2868,1.1,2456,2.2
SSC10091,1842,42,3250,1221,465,2833,1.1,2511,2.1
SSC10092,704,38,1600,573,320,1536,1.1,1359,2.6
SSC10093,362,42,2117,578,400,1529,1.1,1550,2.7
SSC10094,1684,44,700,455,120,1091,1.1,844,2.4
SSC10095,277,41,1517,383,190,1037,1.1,870,2.6
SSC10096,845,47,1733,580,310,1630,1,1510,2.7
SSC10097,1885,41,1538,536,420,1231,1.1,1024,2.6
SSC10098,302,43,1300,424,8,949,1.1,807,2.6
SSC10099,5570,40,2498,765,425,2308,1,2171,3
SSC10100,3229,38,2500,531,430,1434,1.2,1371,2.9
SSC10101,15,64,0,733,320,0,1,1375,3
SSC10102,30773,31,1733,377,330,989,1.4,950,3
SSC10104,218,43,2080,447,300,1187,1.1,919,2.7
SSC10105,328,48,2000,580,92,1333,1.1,1350,2.5
SSC10106,14835,47,1894,439,310,1082,1,902,2.4
SSC10107,1087,36,2500,763,200,2568,1.1,1129,2
SSC10108,340,45,1950,561,180,1471,1.2,934,2.2
SSC10109,739,44,726,379,115,790,1.1,651,2.3
SSC10110,109,57,0,350,85,500,1.1,417,1.4
SSC10112,3995,35,2271,718,560,2501,1,2495,3.6
SSC10113,2243,39,2700,650,420,1803,1.1,1606,2.9
SSC10114,2197,38,2275,568,410,1650,1.2,1415,2.9
SSC10115,610,41,817,409,80,1093,1.1,803,2.7
SSC10116,4105,37,2100,563,270,1484,1.1,1267,2.8
SSC10117,1609,53,1170,405,135,971,1.1,755,2.2
SSC10118,341,49,546,347,150,769,1.3,556,2.1
SSC10119,387,43,867,401,92,780,1.1,648,2.4
SSC10120,1790,34,1517,579,278,1371,1.1,1330,3
SSC10121,1488,44,1473,504,190,1127,1.1,958,2.4
SSC10122,1502,52,800,356,120,772,1.1,593,2.1
SSC10123,5944,38,1733,408,230,1092,1.1,943,2.7
SSC10124,583,43,2167,530,320,1461,1.1,1103,2.5
SSC10125,242,50,580,544,138,1275,1.2,1208,2.8
SSC10126,488,53,1500,461,150,1257,1,924,2.3
SSC10127,259,40,1733,604,150,1323,1.1,1261,2.4
SSC10128,1347,45,1387,388,230,980,1.1,884,2.5
SSC10129,8280,36,2004,395,250,1218,1.2,1051,3
SSC10130,11518,44,1800,471,270,1273,1.1,938,2.4
SSC10131,1817,49,1410,406,240,907,1.1,742,2.1
SSC10132,1591,49,1733,388,200,788,1.1,584,1.9
SSC10133,6823,35,1408,509,210,1228,1.1,866,2
SSC10134,1393,47,965,453,120,1056,1.1,785,2.3
SSC10135,33706,37,2400,710,420,2041,1.1,1872,2.9
SSC10136,403,48,1858,511,190,1220,1.1,1171,2.3
SSC10137,595,52,1127,438,210,1019,1.1,758,2.1
